Date,Close,High,Low,Open,Volume
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
2021-10-19,142.25584411621094,142.6784360414776,141.6232140325782,142.4053106642603,20164000
2021-10-20,140.7978973388672,142.56273311314936,140.40808409613712,142.35615012808168,23288000
2021-10-21,140.9141082763672,141.18226306865893,139.5376005482952,140.7979053406626,26292000
2021-10-22,136.6241912841797,139.6200235721843,135.12403988549715,138.19684070584688,50588000
2021-10-25,136.50550842285156,137.0547142470015,134.49635558033071,136.60779973139745,34412000
2021-10-26,138.354248046875,139.12343319491293,137.3571275635801,138.3095581124509,49236000
2021-10-27,145.21592712402344,147.63175995262506,138.45009190052772,138.45009190052772,85782000
2021-10-28,144.84994506835938,146.1499842212663,143.63631554919505,146.1266466491927,36206000
2021-10-29,147.0319061279297,147.22656270049296,143.65867214921607,144.08423430341784,43320000
2021-11-01,142.51406860351562,147.03192002619673,142.24442868736074,147.03192002619673,46924000
2021-11-02,144.43629455566406,145.60473405193912,143.3468087936872,143.58914068719244,33482000
2021-11-03,145.5938262939453,145.66433910278474,143.60057027429005,144.90109439674632,27494000
2021-11-04,147.25189208984375,148.70785360831633,145.30581121346245,146.1167161309597,38412000
2021-11-05,147.83241271972656,149.29780040360194,147.18190048867697,148.14772763356547,38354000
2021-11-08,148.01014709472656,149.58329636955824,147.41375092762158,148.79869936395048,23052000
2021-11-09,147.8984375,148.80816342631448,146.23639304016191,148.21078213972393,19530000
2021-11-10,144.89414978027344,147.0557547297235,143.54745049930153,146.48965185190764,29970000
2021-11-11,144.76800537109375,146.52490022179515,144.60314209474012,145.4860600290093,16518000
2021-11-12,147.65957641601562,147.83041049178345,144.41495647222519,145.61120416786628,22360000
2021-11-15,147.43511962890625,148.52510553842666,146.56412805215115,147.8805490402253,23508000
2021-11-16,146.86309814453125,147.74351580715998,146.30345092899725,147.1347232918703,18904000
2021-11-17,147.03289794921875,147.54188437232324,146.23143414004474,147.0135307938096,19594000
2021-11-18,148.8121337890625,149.54905558493877,146.87152355597607,147.2260728349166,35608000
2021-11-19,147.90635681152344,149.93239136520538,147.87904882264036,148.94816719539986,33682000
2021-11-22,145.29983520507812,148.80316824044044,145.14639825613384,148.30957862423654,30594000
2021-11-23,144.7834014892578,145.65539319292498,143.12782807825988,145.15186234817517,27218000
2021-11-24,145.11911010742188,145.2477243987509,143.38408255604315,144.47703883261104,18040000
2021-11-26,141.2090606689453,143.567292087887,140.87089317793425,143.35972407872825,30470000
2021-11-29,144.53363037109375,145.29537478702147,142.90783507857046,143.01361186652207,32596000
2021-11-30,140.92555236816406,144.999944835121,140.63157466419622,144.0152354570022,42068000
2021-12-01,140.08531188964844,144.95075636470054,139.9467715705473,143.01361658018308,34020000
2021-12-02,141.9866943359375,142.8790382066656,139.25403140880442,140.2824454448621,29194000
2021-12-03,141.02880859375,143.41087781045954,139.33995625268722,142.6968086608339,41230000
2021-12-06,142.1743927001953,142.867109397249,139.18997198196627,142.06067508092005,30618000
2021-12-07,146.26072692871094,146.52044078510028,144.23270692455046,144.59918260368823,32240000
2021-12-08,147.1714324951172,147.37653035976174,145.4031415660559,146.5854775642507,24270000
2021-12-09,146.62718200683594,148.07867280995276,146.10726943050733,146.58000677510833,23270000
2021-12-10,146.98770141601562,147.9570138625122,145.6990885419643,147.68141834397827,24458000
2021-12-13,144.82762145996094,146.95643255514503,144.52073235798926,146.76921671564287,27070000
2021-12-14,142.9212646484375,143.49033777775247,140.24770295550135,142.9818514180104,38446000
2021-12-15,145.43789672851562,145.7159775606796,140.70752203650918,142.4266677500338,36370000
2021-12-16,143.45556640625,146.66542203712694,142.6232940550718,146.1623912937728,33650000
2021-12-17,140.7542266845703,142.84927424878302,140.33213479314318,141.5239120744954,50416000
2021-12-20,140.6370086669922,140.80337222903077,138.36667189829006,139.0410217021847,27192000
2021-12-21,142.48974609375,142.88352978541766,139.54008877939256,141.0804596519441,28756000
2021-12-22,145.41207885742188,145.49650329171536,142.0875201032057,142.0875201032057,26322000
2021-12-23,145.91014099121094,147.22804705597008,145.4488147669003,145.4964900938066,26384000
2021-12-27,146.89334106445312,147.32784420840972,146.16138996745596,146.24729950718424,15976000
2021-12-28,145.68222045898438,147.28317810290264,145.0540608351718,147.22060612425986,18200000
2021-12-29,145.6504364013672,146.40722543558255,144.64984548921163,145.64001026436924,17788000
2021-12-30,145.1990509033203,146.2910220535515,144.99446827390025,145.6891702663354,15688000
2021-12-31,143.85980224609375,145.69365075326593,143.85980224609375,145.04959428320663,18136000
2022-01-03,143.99832153320312,144.8519311224432,142.72857575378174,144.0613784409724,28646000
2022-01-04,143.410400390625,145.4816101983603,142.73208012573355,144.400065125975,28400000
2022-01-05,136.8312530517578,143.50969364455202,136.74485856797526,143.43073990652238,54618000
2022-01-06,136.80393981933594,138.98142624455608,135.6230889673093,136.06007743230046,37348000
2022-01-07,136.07846069335938,137.50015849299731,134.83652283935174,137.1992250078914,29760000
2022-01-10,137.7196502685547,137.86863190620056,132.25236816890182,134.1527592080336,44408000
2022-01-11,138.77880859375,139.25553153130753,135.75616876669966,137.0616634231231,28730000
2022-01-12,140.4617156982422,141.6311554318166,139.73076471910252,140.18313478333724,26108000
2022-01-13,137.6376953125,141.87149457613452,137.46090562744897,140.57045524554243,31436000
2022-01-14,138.5250701904297,139.77793411889562,136.06007700509608,136.14001576725417,29662000
2022-01-18,135.06643676757812,136.19217162710595,134.5107751926396,135.24222628592668,34872000
2022-01-19,134.19097900390625,137.01450730821685,134.09067289531706,135.58833902307862,28648000
2022-01-20,132.3943634033203,136.6832943570819,132.0537105865044,135.31671267129403,29908000
2022-01-21,129.4586181640625,133.94169047418686,129.19543397045766,131.68526524961257,55652000
2022-01-24,129.90802001953125,130.30428901156284,123.64720029032809,125.11507313847382,76622000
2022-01-25,126.06550598144531,128.51263232248894,125.63398820188476,127.85814979874316,46960000
2022-01-26,128.3477783203125,132.0889733339284,126.27109790890478,130.2208611272421,49130000
2022-01-27,128.12132263183594,131.74382882791292,128.0493095569631,130.40457051733026,31950000
2022-01-28,132.4375762939453,132.4430469854513,127.6049098676887,128.7708642548901,34362000
2022-01-31,134.37669372558594,134.54504250233154,131.3038928647385,133.24301799963737,39986000
2022-02-01,136.70115661621094,136.8491380497125,133.44809584204324,136.65199616866573,68644000
2022-02-02,146.9862060546875,150.5084062493658,144.52568349621032,150.21394368764516,123200000
2022-02-03,142.10983276367188,148.6497323150392,141.688241065003,144.7074256130187,71518000
2022-02-04,142.3114471435547,143.88261122528846,139.55247646938693,142.4619138594205,57998000
2022-02-07,138.2475128173828,143.2619244603311,137.9485645278239,143.2619244603311,54974000
2022-02-08,138.4441375732422,139.04101874272152,136.07547995948318,138.0741915730561,54284000
2022-02-09,140.62210083007812,141.54822358083172,139.22672618566713,139.99791170532907,40144000
2022-02-10,137.67047119140625,140.51535178227655,137.0120182079764,138.74656067127665,39330000
2022-02-11,133.36268615722656,138.20329295411477,132.486223876279,137.6506167768868,39958000
2022-02-14,134.59768676757812,135.36638715070688,132.34373146379744,132.34373146379744,34302000
2022-02-15,135.6727752685547,137.16250068888525,134.89116345210377,136.62817626062764,26680000
2022-02-16,136.79452514648438,137.14013340541413,133.99979001083722,135.71049482174425,25022000
2022-02-17,131.63111877441406,136.17427722960795,131.57103210398424,135.30974142598828,38950000
2022-02-18,129.50975036621094,133.15163912187222,129.30466766211782,132.55275761865371,45620000
2022-02-22,128.92428588867188,131.27506117312328,127.3451658551134,128.94860848642685,44990000
2022-02-23,126.71403503417969,131.146461476255,126.65394836077941,130.74672218976002,32786000
2022-02-24,131.78208923339844,132.08897834726324,124.09759400552933,124.09759400552933,54456000
2022-02-25,133.5384979248047,134.34493246475134,130.84903911293935,132.6372128016479,36406000
2022-02-28,134.1318817138672,134.82161307191876,131.6842552568574,132.1386256771338,38864000
2022-03-01,133.1431884765625,135.3221600936974,132.30597577184693,133.95459346241825,26496000
2022-03-02,133.6497039794922,134.3359650140929,132.1599788001748,133.7058202345684,23520000
2022-03-03,132.98231506347656,135.5049097951273,132.1142937033128,135.07834743813976,24604000
2022-03-04,131.0029296875,132.93461363828908,129.44467715412816,132.01694707381773,30430000
2022-03-07,125.51282501220703,130.8326323863865,125.42989327908792,130.5873302458659,45112000
2022-03-08,126.23385620117188,130.35096043233546,124.81365114823323,125.38520955872268,40428000
2022-03-09,132.50608825683594,132.8194330626874,129.01069565399868,130.35095429762737,37026000
2022-03-10,131.52236938476562,132.3590970925639,130.01576245076538,130.3668413584077,27102000
2022-03-11,128.98089599609375,132.87901308686813,128.74353470326596,132.5741092235153,31526000
2022-03-14,125.0882568359375,129.51572059424493,124.41689239486837,129.35781310754138,38812000
2022-03-15,128.3130340576172,128.96504658257598,124.8593528848829,126.10625390893567,30920000
2022-03-16,132.3675537109375,132.41968439619922,127.85268781908668,129.83750304335058,35576000
2022-03-17,132.92222595214844,133.1620725593792,131.27954871173705,132.23694993148916,28264000
2022-03-18,135.1930694580078,135.3107575128398,131.35255331585438,132.5105667989843,44566000
2022-03-21,135.1692352294922,136.1112397829853,133.17399378353716,135.230807026935,26832000
2022-03-22,138.909912109375,140.08382229708803,135.1692175332458,135.1692175332458,35496000
2022-03-23,137.3283233642578,138.6323329542987,136.8908499613676,137.7524003944116,25154000
2022-03-24,140.60226440429688,140.6489395534487,136.80693829894508,138.24650294781864,26396000
2022-03-25,140.7025604248047,141.06208028165258,138.78031728528904,140.94389214459488,24126000
2022-03-28,140.48655700683594,141.02980723169944,138.85380578704,139.9353507908975,35050000
2022-03-29,141.52932739257812,142.80851414166423,141.06553108100996,141.67036814643419,34318000
2022-03-30,140.96624755859375,141.74288866121253,140.63006526780768,141.48417499062563,19884000
2022-03-31,138.11489868164062,141.13456824026574,138.07219395712613,141.07993710759197,37524000
2022-04-01,139.19049072265625,139.5087909885533,137.36011265105827,138.54444908128045,25942000
2022-04-04,141.99215698242188,142.72759360722597,139.34938903607505,139.39706436312292,25942000
2022-04-05,139.62799072265625,142.01104517908408,139.4209227742379,141.89038687951535,21418000
2022-04-06,135.6126708984375,138.40590569725433,134.5887272738365,137.79958340829674,32468000
2022-04-07,134.9576873779297,136.22494793186857,133.30805431972186,135.07834566419274,26234000
2022-04-08,132.37449645996094,134.74066862943772,132.0546959534093,134.65475908711477,25142000
2022-04-11,127.94107818603516,131.18768319388306,127.78714112721842,130.92052859554875,36884000
2022-04-12,126.83968353271484,130.6985743297183,125.92052403940545,130.6985743297183,32710000
2022-04-13,129.0042266845703,129.44121512067846,126.86597479989753,127.12320332377392,27928000
2022-04-14,125.8619155883789,129.58573595208222,125.73379383047663,129.58573595208222,31598000
2022-04-18,126.80194091796875,127.33426494363471,125.31767872057605,126.13007637850053,20808000
2022-04-19,129.1184539794922,129.44022454936223,126.12956257149347,126.8168237740638,26490000
2022-04-20,127.16293334960938,130.49893329620238,126.62663895836951,129.99540243243885,31696000
2022-04-21,123.95953369140625,129.2073354940893,123.67350445849084,128.36465210884853,36446000
2022-04-22,118.81600952148438,124.54301206602497,118.11038133016164,124.1437652925247,56884000
2022-04-25,122.23095703125,122.43306193166998,117.69921703394614,118.28517197562043,46128000
2022-04-26,117.83726501464844,121.6708251413164,117.69921720652222,121.4568014084917,73054000
2022-04-27,113.51161193847656,116.43891680476513,111.9642852037217,113.68540868356776,91820000
2022-04-28,117.71063995361328,118.82991910256544,113.33332937298223,115.61757779171258,48884000
2022-04-29,113.32786560058594,117.11226538731582,113.03488812105105,115.93488477812409,42676000
2022-05-02,115.784423828125,115.94580921166728,111.82870509334481,112.62819126516962,35534000
2022-05-03,116.5302734375,117.63068544527395,115.23967536784316,115.63295892784193,24968000
2022-05-04,121.42352294921875,122.01295576109642,114.32746141701645,116.22984481156482,49916000
2022-05-05,115.70745086669922,120.20989755476226,114.21772570249654,119.38061812261219,45840000
2022-05-06,114.95365142822266,116.76615498990255,113.23451331524208,114.39550456228451,39710000
2022-05-09,111.74031829833984,114.28874346683119,111.23331708562353,112.47425468443095,40802000
2022-05-10,113.61139678955078,115.45369346873255,112.12713482583916,114.71627925252434,39900000
2022-05-11,112.8243408203125,115.56742256499777,112.4608505325777,112.4608505325777,37534000
2022-05-12,112.07103729248047,113.51209458382574,109.0722196869369,110.61458326418952,53836000
2022-05-13,115.25557708740234,117.06758067088552,112.82683262018276,113.74846982950024,35038000
2022-05-16,113.66107940673828,115.3742620627425,113.1093882042842,114.16808066671092,25990000
2022-05-17,115.6751708984375,116.0992479298773,114.08315444400371,116.04015386240661,23054000
2022-05-18,111.13301086425781,114.60953671958168,110.79136543123056,114.21227511679197,35126000
2022-05-19,109.62788391113281,112.23589554258577,109.24651160347497,110.66820925280025,34144000
2022-05-20,108.16199493408203,111.41506331912538,105.07181220746052,111.18415014796633,48962000
2022-05-23,110.72431945800781,111.37930208284921,107.99613444392592,108.83684020240013,37184000
2022-05-24,105.2441177368164,105.72927404793693,101.18660038025172,105.04747595596399,76780000
2022-05-25,105.08024597167969,105.77048498374647,103.14509143797545,104.26635571159798,40258000
2022-05-26,107.05414581298828,107.90527019647237,104.50422783594661,104.9531351796144,37948000
2022-05-27,111.5471420288086,111.54863472420854,108.39090958839716,108.73305507461306,37914000
2022-05-31,112.98274993896484,114.94223478737628,111.31077945637375,111.9742030382361,50012000
2022-06-01,113.11185455322266,116.29937309388902,112.47425385777059,114.06826317353504,36606000
2022-06-02,116.81680297851562,117.0919059988239,112.17283789402013,113.21911892677547,37992000
2022-06-03,113.75640869140625,115.5247147902425,112.7409135990989,115.26748624103267,26136000
2022-06-06,116.02030181884766,118.5294926139671,115.36829697900254,115.90509148996708,33542000
2022-06-07,116.3470458984375,116.88484060449989,114.26391732011818,114.6894795083408,31590000
2022-06-08,116.39122772216797,117.75830174233698,115.80129483193734,115.96168759585584,26108000
2022-06-09,114.04889678955078,117.48867330795103,113.98980271889602,115.53067360236983,25798000
2022-06-10,110.40005493164062,112.50305059167471,109.61000232222437,111.67476376402166,41452000
2022-06-13,105.66372680664062,108.0462884474437,105.39210170145553,106.05502516866834,47252000
2022-06-14,105.98451232910156,107.18523046976311,105.07528653929919,105.80525248931403,33706000
2022-06-15,109.01263427734375,110.66026699950997,106.93198347818276,107.8014823825955,39698000
2022-06-16,105.30718994140625,107.904275532212,104.41782377620616,106.48655577638867,51684000
2022-06-17,106.40958404541016,107.95492543163547,104.32644797510493,105.30718677609678,51376000
2022-06-21,110.77993774414062,111.7189644125282,107.85610349476617,108.18334476803008,47416000
2022-06-22,110.72383117675781,112.57009089350043,109.62639691916156,109.7992086229141,30774000
2022-06-23,111.47315216064453,111.9702273097303,109.74358796129896,111.46272602416786,28362000
2022-06-24,117.1668930053711,117.27018450537825,112.17879704892937,112.22100926625183,41164000
2022-06-27,115.04005432128906,117.76723906577276,114.39052725392568,117.46284286786336,36420000
2022-06-28,111.24024963378906,116.50593293563422,111.0818420856868,115.00925210972557,35792000
2022-06-29,110.93636322021484,112.3853689488812,110.11303936843558,110.78788927074342,24716000
2022-06-30,108.21662139892578,110.12843854185274,106.0187825786,109.24652068989226,43170000
2022-07-01,107.9926528930664,108.5016392454009,105.99939705274404,107.19365934078476,35476000
2022-07-05,112.48716735839844,112.60038490089782,105.00725515042267,106.36688099642751,39342000
2022-07-06,113.78720092773438,114.7977330534994,110.71240730639667,112.5259035341935,37432000
2022-07-07,117.96934509277344,118.37306236499573,114.04690533231896,114.29171495203762,40936000
2022-07-08,118.53594970703125,118.8651762014679,116.10074202416587,116.44685795142414,38238000
2022-07-11,114.8841323852539,117.1897331383704,114.54050176466727,117.1897331383704,31196000
2022-07-12,113.23947143554688,116.17273911133853,112.91123756952663,115.41893551644583,29960000
2022-07-13,110.59074401855469,113.41377206743013,110.43978477358259,110.93585975066051,43722000
2022-07-14,109.61150360107422,110.33203606233151,107.63066634050548,109.4555813251154,37004000
2022-07-15,111.0118408203125,112.36551106488659,110.14035668814668,111.23332046369126,46770000
2022-07-18,108.28315734863281,112.9013069637435,107.62768220362615,111.86842992036455,43164600
2022-07-19,113.0304183959961,113.2389790223901,108.80953017450513,110.090694802755,36530900
2022-07-20,113.11980438232422,114.60952961762138,111.7095329780885,112.39480143387381,35600400
2022-07-21,113.5567855834961,113.76535378483867,110.34891481197837,113.49719899861788,32676200
2022-07-22,107.1609115600586,111.57049343817368,105.77049971967809,110.23967576417152,48901200
2022-07-25,106.77357482910156,109.11740979105046,105.571864055946,107.66741148020654,34690900
2022-07-26,104.30062103271484,106.46568857174864,103.35713146074687,105.86980002223551,47991000
2022-07-27,112.28555297851562,113.12973666354446,107.27014929212193,108.51158697347695,59858500
2022-07-28,113.43761444091797,113.5567876128041,110.69651783051911,111.6002881287064,32816600
2022-07-29,115.52322387695312,115.91055182503115,112.2855523018916,112.30541954786877,37223400
